,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
0,342090_546,34820.18115942029,2191.7493167182506,457.6836100009646,68421.17300222623
1,3420cb_592,34997.05456301304,1411.1797226552828,435.5262520243826,66676.09307827866
2,3420cb_593,33935.38902291918,1356.887318576476,449.32372317374336,69023.73908771925
3,3420cc_596,34796.91202872532,1776.605774468046,450.73349980621816,67762.81628424289
4,3420cc_603,32842.32271634616,1182.270014716797,434.3132176590687,71237.25203580473
5,342195_676,33935.3417266187,961.690761770072,439.5909592232685,68346.19931421083
6,342195_678,35251.384493670885,807.3687742148472,441.294493905275,65056.03285579762
7,342396_730,36993.47037484885,884.0301171150742,447.3138347321562,61182.47421482259
8,342397_742,36949.134844868735,1025.0941197658246,433.52513981553216,61526.28468196279
9,342397_744,30029.496951219517,1093.8733856162949,435.8354745812773,77552.29159554765
10,3424d1_783,35980.30698889615,1185.5523172222129,444.8749889044451,64028.7347914945
11,3424d1_784,36998.752711496745,1248.833880849358,447.8594477495541,61795.86386014792
12,3424d5_809,36002.08491281274,1084.2628307027323,442.510005963436,63804.98554585407
13,342591_839,37001.22336884154,1873.7263760396531,444.6465246474343,62861.694903219206
14,342592_846,33003.257575757576,1069.062549871688,459.629622333311,70673.14865323016
15,342592_847,35841.8909348442,947.8274171286264,456.21210602293183,63939.31987749459
16,343046_866,35001.93654266959,1468.7968731081137,441.5449176322017,66763.66638467506
17,343046_870,35757.948113207545,1534.4683136518906,451.1601160782375,65138.22279755416
18,343141_881,34236.517381772625,2029.29993175674,448.89961933348366,69484.44707041282
19,343141_883,35272.21110555278,1361.2426599492728,439.83099703781306,65957.88752679272
20,344099_989,36994.58464773922,1355.5030491769155,451.5946387141786,61988.353096493156
21,344099_993,35999.953401677536,1505.2681864423523,449.5187477041331,64531.7890139754
22,344157_1052,35972.794117647056,896.4737037308181,422.2904675726115,63550.31995561777
23,344158_1066,33703.54899497487,835.2814912439417,446.0752773530673,68662.32929982936
24,3443d1_1293,30027.292263610318,987.7489959947696,431.8818278722306,77375.38729022833
25,3443d1_1296,36411.70212765958,1331.3977503528586,439.8855766469363,63287.05141805156
