,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude,pred,error,error_percent
0,ac2-250,36945.280252542965,1816.0696865370955,67004.66588745118,60454.79196777343,442.87295061703566,0.7359999999999999,36962.0,62807.41572219577,-4197.250165255406,6.264116251703418
1,ac1-436,38001.4055666004,1802.0592337580724,67204.24653320313,60763.23478393555,447.45574133005806,0.7759946984758116,38016.0,60351.26188621775,-6852.98464698538,10.197249430658484
2,ac1-292,37998.76421404682,988.0111444527996,62559.46059570313,58749.284631347655,437.52647932913175,0.6959999999999998,38012.0,58928.459760225815,-3631.0008354773163,5.804079512358696
3,ac2-318,37000.632071937056,2963.74449525048,69581.0705871582,59475.03243408203,444.7216390687946,0.7504008992131883,37014.0,64694.46908819722,-4886.601498960983,7.0228892107084775
4,ac1-224,38997.97920277296,1279.4996273317408,57007.489904785165,52634.85939331055,440.457870248567,0.6908284228769497,39014.0,57139.56953187227,132.07962708710693,0.2316881997570994
5,ac2-267,36944.39473684211,1104.9010084377192,64391.97379760743,60200.78023681641,446.1120670280915,0.7759999999999999,36958.0,61561.1533704309,-2830.8204271765353,4.39623179757493
6,ac1-578,38000.080544526376,1179.523940603794,55428.98843383789,51491.80660400391,437.0529674213339,0.744,38014.0,59261.58795525496,3832.599521417069,6.914431653378994
7,ac1-481,36999.1852335838,1947.568487799264,70959.99141235353,63756.94447021485,445.2164009783786,0.7599999999999999,37014.0,62914.1254187148,-8045.865993638727,11.338594937087338
8,ac1-466,37844.75848032565,1150.642487345374,56644.61600341797,52671.146783447264,435.0597763287434,0.0,38010.0,59568.497373775055,2923.881370357085,5.161799261170128
9,ac1-514,33053.10408635312,962.0401360283254,59946.76850585938,56281.74210205078,418.8092353649322,0.6799999999999998,34004.0,70269.47380993307,10322.705304073694,17.21978608916129
10,ac1-147,37000.09344385833,1151.1337802674373,63049.34036254883,58821.8594116211,442.6401203069949,0.7379653353428784,37010.0,61514.06742593511,-1535.272936613721,2.4350340983514394
11,ac1-344,37000.80081925244,1319.6782381617736,55193.12039794923,50929.35205688476,441.6456671557736,0.7678402457757297,37018.0,61808.28174816763,6615.161350218405,11.98548170953603
12,ac2-163,32949.165017807674,3069.896634023583,72302.62484741211,61126.10868530274,441.305136112065,0.7679999999999999,32966.0,74208.65826371804,1906.0334163059306,2.636188409934542
13,ac2-310,37917.39953407105,1767.7831255345866,63031.19666748047,56989.3462097168,439.13636271925657,0.7439999999999999,37970.0,60484.50828052225,-2546.6883869582234,4.040361791627113
14,ac1-122,37919.56342857143,960.4465511467628,54721.38432617187,51292.22595825196,430.7269253602889,0.7599999999999999,38010.0,59062.42342986628,4341.039103694406,7.932984805024742
15,ac1-150,34998.47241136417,2562.34591549795,66932.09110717774,58132.39899902343,445.19439513416415,0.4511256163418642,35014.0,68599.5577036409,1667.4665964631567,2.4912811909507773
16,ac1-398,36003.219851980844,1695.6216848636134,68075.14389648438,61833.71279296876,441.3126763659574,0.7641097083151936,36020.0,64764.94071350309,-3310.2031829812913,4.862572436152045
17,ac2-280,35946.37398373984,1021.3223670074764,58458.98551025391,54558.09107055664,438.3556911539868,0.6479999999999999,35958.0,63712.234325588506,5253.2488153345985,8.986212760078022
18,ac2-205,37937.95302619693,987.6554173937278,62632.03537597656,58912.57788696289,442.5015566209455,0.7359999999999999,37958.0,59067.84350420728,-3564.191871769275,5.6906850469949335
19,ac2-260,34000.6009913259,1280.145518050475,68274.72454223633,63121.91514282227,451.9852912907145,0.7736555142503097,34012.0,68646.3764386234,371.65189638706215,0.5443477053607879
