ts,altitude,mach,tas,vertical_rate,heading,mass,fuel,dist,flight_id
0.0,1500.0,0.3,197.42,2500.0,90.0,66300.0,111.58386627342377,0,500 km
57.0,3859.0,0.5,326.32,2500.0,90.0,66188.0,94.48790059331803,5,500 km
113.0,6217.0,0.6536,422.97,2500.0,90.0,66094.0,98.37939096457202,15,500 km
170.0,8576.0,0.6636,425.81,2500.0,90.0,65997.0,96.03767507572935,27,500 km
226.0,10934.0,0.6773,430.84,2500.0,90.0,65903.0,93.94626991488902,39,500 km
283.0,13293.0,0.6962,438.99,2500.0,90.0,65810.0,92.13090861734757,52,500 km
340.0,15651.0,0.7151,446.87,2500.0,90.0,65719.0,90.28693836668303,64,500 km
396.0,18010.0,0.7338,454.32,2500.0,90.0,65630.0,88.4172227347774,77,500 km
453.0,20368.0,0.7517,461.13,2500.0,90.0,65543.0,86.52639098121293,90,500 km
509.0,22727.0,0.7686,466.98,2500.0,90.0,65458.0,84.62213053257652,104,500 km
566.0,25085.0,0.7834,471.38,2500.0,90.0,65374.0,82.7179200088442,117,500 km
623.0,27444.0,0.7947,473.51,2426.0,90.0,65293.0,79.9893381263759,131,500 km
679.0,29732.0,0.7998,471.86,1926.0,90.0,65214.0,72.28871302991558,145,500 km
736.0,31549.0,0.8116,475.08,1426.0,90.0,65142.0,64.99431388535257,158,500 km
792.0,32895.0,0.8077,470.0,926.0,90.0,65076.0,57.65011027625029,172,500 km
849.0,33768.0,0.8016,464.65,426.0,90.0,65018.0,50.5600935635974,186,500 km
906.0,34170.0,0.7872,455.48,-74.0,90.0,64967.0,43.654213711421775,199,500 km
962.0,34100.0,0.7915,458.08,-75.0,90.0,64923.0,43.79083138137092,213,500 km
1019.0,34030.0,0.7954,460.48,-97.0,90.0,64879.0,43.666529907841344,226,500 km
1075.0,33939.0,0.7989,462.7,-241.0,90.0,64835.0,42.09336291570448,239,500 km
1132.0,33712.0,0.7979,462.58,-389.0,90.0,64792.0,40.44524018253546,253,500 km
1189.0,33344.0,0.7968,462.72,-532.0,90.0,64751.0,38.99658064864467,266,500 km
1245.0,32842.0,0.7956,463.04,-676.0,90.0,64712.0,37.6610946862321,280,500 km
1302.0,32205.0,0.7941,463.49,-825.0,90.0,64674.0,36.3919083179813,293,500 km
1359.0,31426.0,0.7922,463.99,-985.0,90.0,64637.0,35.16173416724779,307,500 km
1415.0,30497.0,0.7898,464.44,-1159.0,90.0,64601.0,33.9540586933644,320,500 km
1472.0,29404.0,0.7865,464.67,-1348.0,90.0,64567.0,32.75855182911444,334,500 km
1528.0,28132.0,0.7816,464.31,-1553.0,90.0,64534.0,31.56824740922813,347,500 km
1585.0,26668.0,0.7738,462.54,-1768.0,90.0,64501.0,30.377400175364656,361,500 km
1642.0,25000.0,0.76,457.49,-1971.0,90.0,64470.0,29.18575264721225,374,500 km
1698.0,23140.0,0.7405,449.18,-2145.0,90.0,64441.0,28.070818862229682,388,500 km
1755.0,21116.0,0.7208,440.84,-2313.0,90.0,64412.0,27.11275380056417,401,500 km
1811.0,18934.0,0.7014,432.68,-2480.0,90.0,64384.0,26.28240084062469,414,500 km
1868.0,16594.0,0.6722,418.53,-2500.0,90.0,64357.0,25.835452792950626,426,500 km
1925.0,14236.0,0.6438,404.51,-2500.0,90.0,64330.0,25.46552209195545,439,500 km
1981.0,11877.0,0.6175,391.42,-2500.0,90.0,64304.0,25.129759881889928,451,500 km
2038.0,9519.0,0.593,379.17,-2500.0,90.0,64279.0,24.82424566773505,462,500 km
2094.0,7160.0,0.5701,367.69,-2500.0,90.0,64253.0,24.545587502216563,473,500 km
2151.0,4802.0,0.5,325.23,-2000.0,90.0,64228.0,24.273937202221095,484,500 km
2208.0,2915.0,0.3,196.44,-1500.0,90.0,64203.0,21.441586530080926,493,500 km
2264.0,1500.0,0.1,65.81,-1000.0,90.0,64182.0,92.59647946061878,499,500 km
0.0,1500.0,0.3,197.42,2000.0,90.0,66300.0,256.40802780990276,0,1300 km
144.0,6308.0,0.5,323.49,2500.0,90.0,66041.0,236.95681154771103,14,1300 km
288.0,12318.0,0.6885,435.69,2500.0,90.0,65808.0,236.64089007087043,38,1300 km
433.0,18328.0,0.7363,455.35,2340.0,90.0,65580.0,219.94148604343468,70,1300 km
577.0,23953.0,0.7768,469.62,1840.0,90.0,65367.0,193.43600515198216,103,1300 km
721.0,28377.0,0.7983,473.74,1340.0,90.0,65179.0,168.66079906779896,137,1300 km
865.0,31598.0,0.8064,471.94,840.0,90.0,65013.0,146.3121409501853,172,1300 km
1010.0,33617.0,0.8034,465.97,340.0,90.0,64867.0,126.27233913672633,207,1300 km
1154.0,34435.0,0.78,450.77,-108.0,90.0,64740.0,109.16971710826263,242,1300 km
1298.0,34176.0,0.7954,460.18,24.0,90.0,64630.0,114.62340960646934,275,1300 km
1442.0,34234.0,0.7958,460.29,26.0,90.0,64515.0,114.54381483167842,309,1300 km
1587.0,34297.0,0.796,460.27,26.0,90.0,64399.0,114.37270350175,343,1300 km
1731.0,34360.0,0.7961,460.24,26.0,90.0,64284.0,114.2002973825655,378,1300 km
1875.0,34423.0,0.7963,460.21,26.0,90.0,64169.0,114.0282945274386,412,1300 km
2019.0,34486.0,0.7965,460.18,26.0,90.0,64054.0,113.85673044575367,446,1300 km
2164.0,34549.0,0.7967,460.15,26.0,90.0,63939.0,113.68560938766588,480,1300 km
2308.0,34611.0,0.7968,460.12,26.0,90.0,63824.0,113.51493486325766,514,1300 km
2452.0,34674.0,0.797,460.08,26.0,90.0,63709.0,113.3447102141853,548,1300 km
2596.0,34736.0,0.7972,460.05,26.0,90.0,63595.0,113.174938626586,582,1300 km
2741.0,34798.0,0.7973,460.02,26.0,90.0,63481.0,113.00562313368658,617,1300 km
2885.0,34860.0,0.7975,459.98,26.0,90.0,63367.0,112.83676661830792,651,1300 km
3029.0,34922.0,0.7976,459.94,26.0,90.0,63253.0,112.66837181545044,685,1300 km
3173.0,34984.0,0.7978,459.91,26.0,90.0,63139.0,112.5004413149459,719,1300 km
3318.0,35046.0,0.798,459.87,26.0,90.0,63025.0,112.33297756417569,753,1300 km
3462.0,35107.0,0.7981,459.83,26.0,90.0,62912.0,112.16598287079252,787,1300 km
3606.0,35169.0,0.7983,459.79,26.0,90.0,62799.0,111.99945940246121,821,1300 km
3750.0,35230.0,0.7984,459.75,25.0,90.0,62686.0,111.83340901486206,855,1300 km
3894.0,35291.0,0.7986,459.71,25.0,90.0,62573.0,111.66782324224968,890,1300 km
4039.0,35352.0,0.7987,459.66,25.0,90.0,62460.0,111.50210541937128,924,1300 km
4183.0,35413.0,0.7989,459.62,24.0,90.0,62347.0,111.30166072014644,958,1300 km
4327.0,35471.0,0.7992,459.67,-31.0,90.0,62235.0,109.51529549485208,992,1300 km
4471.0,35396.0,0.8006,460.67,-337.0,90.0,62124.0,100.87876422397174,1026,1300 km
4616.0,34585.0,0.7986,461.16,-651.0,90.0,62021.0,93.30403794132265,1060,1300 km
4760.0,33019.0,0.7951,462.41,-1037.0,90.0,61926.0,85.68067369382356,1095,1300 km
4904.0,30526.0,0.7879,463.27,-1537.0,90.0,61838.0,77.83416043427715,1129,1300 km
5048.0,26831.0,0.7605,454.3,-2037.0,90.0,61757.0,71.02594984188202,1164,1300 km
5193.0,21934.0,0.7085,431.91,-2500.0,90.0,61681.0,64.61924868219772,1198,1300 km
5337.0,15924.0,0.6327,394.95,-2500.0,90.0,61612.0,62.4638427646455,1230,1300 km
5481.0,9914.0,0.5,319.27,-2000.0,90.0,61546.0,59.269630033118986,1260,1300 km
5625.0,5106.0,0.3,194.93,-1500.0,90.0,61486.0,54.76464494580019,1284,1300 km
5770.0,1500.0,0.1,65.81,-1000.0,90.0,61431.0,212.5345739061341,1298,1300 km
0.0,1500.0,0.3,197.42,1142.0,90.0,66300.0,323.46405311568134,0,2100 km
233.0,5944.0,0.5,323.91,1642.0,90.0,65973.0,326.5254677370734,23,2100 km
467.0,12333.0,0.6889,435.92,2142.0,90.0,65654.0,365.38671308687526,61,2100 km
700.0,20667.0,0.7547,462.37,1642.0,90.0,65308.0,313.86421188502874,113,2100 km
934.0,27056.0,0.7949,474.4,1142.0,90.0,65008.0,267.14838470869057,168,2100 km
1167.0,31500.0,0.804,470.71,642.0,90.0,64749.0,225.99180603519886,224,2100 km
1400.0,33999.0,0.8015,464.1,142.0,90.0,64524.0,192.49296915844695,280,2100 km
1634.0,34553.0,0.786,454.01,0.0,90.0,64330.0,181.98021764449294,336,2100 km
1867.0,34553.0,0.7912,456.96,0.0,90.0,64147.0,182.30149080898093,390,2100 km
2101.0,34553.0,0.7959,459.69,25.0,90.0,63964.0,183.8465288459571,445,2100 km
2334.0,34650.0,0.7963,459.73,26.0,90.0,63778.0,183.47552100401145,500,2100 km
2567.0,34750.0,0.7966,459.68,26.0,90.0,63593.0,183.03101573927452,556,2100 km
2801.0,34851.0,0.7968,459.62,26.0,90.0,63409.0,182.58987832771828,611,2100 km
3034.0,34951.0,0.7971,459.56,26.0,90.0,63225.0,182.15064347235858,666,2100 km
3268.0,35050.0,0.7974,459.5,26.0,90.0,63041.0,181.7133562738088,721,2100 km
3501.0,35150.0,0.7976,459.44,25.0,90.0,62857.0,181.27803229177076,776,2100 km
3735.0,35249.0,0.7978,459.38,25.0,90.0,62674.0,180.84468610231852,831,2100 km
3968.0,35347.0,0.7981,459.31,25.0,90.0,62492.0,180.41333083899107,887,2100 km
4201.0,35446.0,0.7983,459.24,25.0,90.0,62310.0,179.98397825175132,942,2100 km
4435.0,35544.0,0.7986,459.17,25.0,90.0,62128.0,179.5566387614975,997,2100 km
4668.0,35641.0,0.7988,459.1,25.0,90.0,61947.0,179.13132122324436,1052,2100 km
4902.0,35739.0,0.799,459.03,25.0,90.0,61766.0,178.70805551347775,1107,2100 km
5135.0,35836.0,0.7992,458.95,25.0,90.0,61585.0,178.2850590105164,1162,2100 km
5368.0,35932.0,0.7995,458.88,28.0,90.0,61405.0,178.0126624448813,1217,2100 km
5602.0,36040.0,0.799,458.4,33.0,90.0,61225.0,177.7315958135994,1272,2100 km
5835.0,36167.0,0.7975,457.4,24.0,90.0,61045.0,176.69664570977062,1327,2100 km
6069.0,36262.0,0.7977,457.52,24.0,90.0,60867.0,176.2777841836746,1382,2100 km
6302.0,36356.0,0.7979,457.66,24.0,90.0,60689.0,175.8784426598036,1437,2100 km
6535.0,36449.0,0.7982,457.8,24.0,90.0,60511.0,175.48062272109678,1492,2100 km
6769.0,36543.0,0.7984,457.93,24.0,90.0,60334.0,175.08457991156467,1547,2100 km
7002.0,36636.0,0.7986,458.07,24.0,90.0,60157.0,174.68982497149005,1602,2100 km
