ts,altitude,mach,tas,vertical_rate,heading,mass,fuel,dist,flight_id
0.0,1500.0,0.3,197.42,1405.0,90.0,54600.0,293.93482113939075,0,70% MTOW
229.0,6871.0,0.5,322.83,1905.0,90.0,54305.0,302.17527411314876,23,70% MTOW
459.0,14154.0,0.7,439.93,2405.0,90.0,54013.0,337.68997211315275,60,70% MTOW
688.0,23349.0,0.8007,485.29,1905.0,90.0,53702.0,293.1321633783275,110,70% MTOW
918.0,30631.0,0.8077,474.7,1405.0,90.0,53431.0,240.02090921394685,166,70% MTOW
1147.0,36003.0,0.8087,464.05,905.0,90.0,53201.0,201.4846244578939,223,70% MTOW
1376.0,39462.0,0.8079,463.4,405.0,90.0,53001.0,173.03614878750932,278,70% MTOW
1606.0,41010.0,0.8073,463.04,0.0,90.0,52826.0,155.10863868858377,334,70% MTOW
1835.0,41010.0,0.8074,463.08,0.0,90.0,52667.0,154.90867055056296,389,70% MTOW
2064.0,41010.0,0.8074,463.12,-0.0,90.0,52508.0,154.7098979309624,445,70% MTOW
2294.0,41010.0,0.8075,463.15,0.0,90.0,52350.0,154.51231830249813,500,70% MTOW
2523.0,41010.0,0.8076,463.19,-0.0,90.0,52192.0,154.31591957310175,556,70% MTOW
2753.0,41010.0,0.8076,463.23,0.0,90.0,52034.0,154.1206975955467,611,70% MTOW
2982.0,41010.0,0.8077,463.27,0.0,90.0,51876.0,153.92664489069008,667,70% MTOW
3211.0,41010.0,0.8078,463.31,0.0,90.0,51718.0,153.73375480830958,722,70% MTOW
3441.0,41010.0,0.8078,463.35,0.0,90.0,51561.0,153.5420205996933,778,70% MTOW
3670.0,41010.0,0.8079,463.38,0.0,90.0,51404.0,153.3514355881423,833,70% MTOW
3900.0,41010.0,0.808,463.42,0.0,90.0,51247.0,153.16199313810282,889,70% MTOW
4129.0,41010.0,0.808,463.46,0.0,90.0,51090.0,152.9736866601642,944,70% MTOW
4358.0,41010.0,0.8081,463.5,0.0,90.0,50934.0,152.78650960989214,1000,70% MTOW
4588.0,41010.0,0.8082,463.54,0.0,90.0,50777.0,152.60045548769665,1055,70% MTOW
4817.0,41010.0,0.8082,463.58,0.0,90.0,50621.0,152.4155178385268,1111,70% MTOW
5047.0,41010.0,0.8083,463.62,0.0,90.0,50465.0,152.23169025160126,1166,70% MTOW
5276.0,41010.0,0.8084,463.66,0.0,90.0,50309.0,152.04896636008738,1222,70% MTOW
5505.0,41010.0,0.8084,463.7,0.0,90.0,50154.0,151.8673398410689,1277,70% MTOW
5735.0,41010.0,0.8085,463.73,0.0,90.0,49999.0,151.68680441388156,1333,70% MTOW
5964.0,41010.0,0.8086,463.77,0.0,90.0,49843.0,151.50735384744138,1389,70% MTOW
6193.0,41010.0,0.8086,463.81,-0.0,90.0,49688.0,151.3289819198496,1444,70% MTOW
6423.0,41010.0,0.8087,463.85,0.0,90.0,49534.0,151.15168261581607,1500,70% MTOW
6652.0,41010.0,0.8088,463.89,-0.0,90.0,49379.0,150.97544912490486,1555,70% MTOW
6882.0,41010.0,0.8084,463.67,-335.0,90.0,49225.0,140.1772403398915,1611,70% MTOW
7111.0,39731.0,0.8067,462.72,-500.0,90.0,49081.0,136.78488006293406,1666,70% MTOW
7340.0,37820.0,0.8032,460.71,-500.0,90.0,48940.0,139.53532027808785,1722,70% MTOW
7570.0,35908.0,0.7983,458.26,-500.0,90.0,48797.0,142.79141538947894,1777,70% MTOW
7799.0,33997.0,0.791,458.04,-500.0,90.0,48651.0,146.43531345755173,1833,70% MTOW
