,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1254,90,61830,310,61830,1690
1,229.0,0,0,6300,0.5,324,1754,90,61520,310,61830,1690
2,457.0,0,0,13000,0.7,442,2254,90,61210,350,61830,1690
3,686.0,0,0,21500,0.7748,473,1754,90,60880,300,61830,1690
4,914.0,0,0,28200,0.8066,479,1254,90,60590,260,61830,1690
5,1143.0,0,0,33000,0.8069,469,754,90,60340,220,61830,1690
6,1372.0,0,0,35900,0.8052,462,254,90,60130,180,61830,1690
7,1600.0,0,0,36800,0.7924,454,0,90,59940,170,61830,1690
8,1829.0,0,0,36800,0.799,458,20,90,59770,170,61830,1690
9,2057.0,0,0,36900,0.8003,459,24,90,59600,170,61830,1690
10,2286.0,0,0,37000,0.8005,459,24,90,59430,170,61830,1690
11,2514.0,0,0,37100,0.8007,459,24,90,59260,170,61830,1690
12,2743.0,0,0,37200,0.8009,459,24,90,59080,170,61830,1690
13,2972.0,0,0,37300,0.8011,460,24,90,58910,170,61830,1690
14,3200.0,0,0,37400,0.8013,460,24,90,58740,170,61830,1690
15,3429.0,0,0,37500,0.8015,460,24,90,58570,170,61830,1690
16,3657.0,0,0,37500,0.8017,460,23,90,58400,170,61830,1690
17,3886.0,0,0,37600,0.8019,460,23,90,58230,170,61830,1690
18,4115.0,0,0,37700,0.8021,460,23,90,58060,170,61830,1690
19,4343.0,0,0,37800,0.8023,460,23,90,57900,170,61830,1690
20,4572.0,0,0,37900,0.8025,460,23,90,57730,170,61830,1690
21,4800.0,0,0,38000,0.8027,460,23,90,57560,170,61830,1690
22,5029.0,0,0,38100,0.8029,461,23,90,57390,170,61830,1690
23,5258.0,0,0,38200,0.8031,461,23,90,57220,160,61830,1690
24,5486.0,0,0,38300,0.8033,461,23,90,57060,160,61830,1690
25,5715.0,0,0,38300,0.8035,461,30,90,56890,160,61830,1690
26,5943.0,0,0,38500,0.8012,460,-242,90,56720,150,61830,1690
27,6172.0,0,0,37500,0.8037,461,-742,90,56570,140,61830,1690
28,6400.0,0,0,34700,0.7976,460,-1242,90,56430,120,61830,1690
29,6629.0,0,0,30000,0.7605,448,-1742,90,56300,110,61830,1690
30,6858.0,0,0,23300,0.6708,407,-2242,90,56170,100,61830,1690
31,7086.0,0,0,14800,0.5,313,-1995,90,56060,90,61830,1690
32,7315.0,0,0,7200,0.3,193,-1495,90,55970,90,61830,1690
33,7543.0,0,0,1500,0.1,66,-995,90,55880,260,61830,1690
