,ac,mean_cruise_altitude,max_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach
0,a320,40875.60975609756,41000,2670,56470,49050,460.780487804878,0.7912195121951219
1,a320,32892.0,34500,3070,75210,64310,457.6,0.7768560000000001
2,a320,37966.666666666664,38800,1290,61160,56970,460.77777777777777,0.7886055555555556
3,a320,33015.38461538462,34700,2770,73870,63990,459.61538461538464,0.7803500000000001
4,a320,38336.17021276596,40400,2970,63170,54220,461.21276595744683,0.7891234042553191
5,a320,40774.666666666664,41000,4350,57810,46170,459.64,0.789396
6,a320,40914.28571428572,41000,900,53130,50360,461.2857142857143,0.7920357142857143
7,a320,39366.666666666664,39600,600,57810,55700,459.77777777777777,0.7885777777777778
8,a320,36775.67567567567,38600,2480,65170,57340,461.02702702702703,0.7872135135135135
9,a320,40922.22222222222,41000,1980,55800,50150,461.1111111111111,0.792148148148148
10,a320,40667.34693877551,41000,3070,57810,49270,460.7551020408163,0.7908816326530612
11,a320,40177.77777777778,40400,600,56470,54390,460.0,0.7895444444444445
12,a320,40957.627118644064,41000,3560,55800,46310,459.76271186440675,0.7896169491525424
13,a320,38300.0,40000,2480,62500,54950,461.0810810810811,0.7892972972972974
14,a320,38172.0,39400,1880,61830,55950,461.0,0.7894000000000001
15,a320,40323.529411764706,41000,3170,59150,50210,460.9019607843137,0.7908078431372549
16,a320,40968.88888888889,41000,2870,53800,46140,459.73333333333335,0.7895466666666668
17,a320,40975.40983606558,41000,3660,54470,44890,459.2295081967213,0.7887590163934427
18,a320,34573.913043478264,35900,1780,67850,61770,460.30434782608694,0.7835695652173914
19,a320,33112.5,34100,900,68520,65200,458.8125,0.7788375000000001
20,a320,40504.22535211268,41000,4150,59150,47780,460.056338028169,0.7899028169014086
21,a320,40971.42857142857,41000,3070,52460,44470,458.83673469387753,0.7880816326530612
22,a320,32642.30769230769,34300,2570,73870,64630,457.6923076923077,0.7766346153846153
23,a320,36063.82978723404,38400,2970,67180,57720,460.70212765957444,0.7858999999999998
24,a320,35540.74074074074,37000,1980,66510,59960,460.74074074074076,0.7853222222222223
25,a320,40868.75,41000,1190,55800,52180,461.625,0.7926000000000001
26,a320,39390.41095890411,41000,4250,62500,50480,460.43835616438355,0.7893821917808219
27,a320,38505.882352941175,40800,3170,63170,53700,461.1372549019608,0.7892235294117649
28,a320,35567.92452830189,38200,3270,68520,58030,460.41509433962267,0.7849943396226415
29,a320,34855.1724137931,36500,2080,67850,60890,460.41379310344826,0.784048275862069
30,a320,40962.857142857145,41000,2380,55140,48550,460.77142857142854,0.7914914285714285
31,a320,34977.551020408166,37500,3070,69190,59170,460.2448979591837,0.7841551020408163
32,a320,40954.545454545456,41000,700,54470,52170,461.8181818181818,0.7927727272727272
33,a320,36945.76271186441,39700,3560,66510,55500,460.6949152542373,0.7870830508474577
34,a320,39452.542372881355,41000,3560,61830,51530,460.93220338983053,0.7900525423728814
35,a320,36793.10344827586,38300,2080,64500,57850,460.9310344827586,0.7874206896551724
36,a320,34366.666666666664,35900,1980,68520,61790,460.22222222222223,0.7831074074074075
37,a320,34558.333333333336,37600,4250,73200,59020,460.01666666666665,0.7831600000000001
38,a320,32575.0,34200,3360,77220,64850,459.0,0.7788083333333334
39,a320,40193.333333333336,41000,4350,60490,48430,460.16,0.78982
40,a320,40662.666666666664,41000,4350,58480,46740,459.8,0.7895760000000001
41,a320,37206.666666666664,37800,900,61830,58770,460.93333333333334,0.7879666666666666
42,a320,35162.5,36500,1780,66510,60690,460.5416666666667,0.784725
43,a320,40952.380952380954,41000,1690,51120,46470,460.0952380952381,0.7902333333333335
44,a320,40911.11111111111,41000,1390,52460,48460,461.1111111111111,0.7916611111111111
