ts,x,y,alt,mach,tas,vs,heading,mass,fuel,takeoff_mass,flight_distance
0.0,0,0,1500,0.3,197,1000,90,51120,40,51120,500
85.0,0,0,2900,0.5,327,1500,90,51080,50,51120,500
170.0,0,0,5000,0.5868,381,2000,90,51030,60,51120,500
255.0,0,0,7900,0.6344,408,2500,90,50970,70,51120,500
340.0,0,0,11400,0.6742,428,2500,90,50900,70,51120,500
424.0,0,0,14900,0.7185,450,2500,90,50830,70,51120,500
509.0,0,0,18500,0.7682,475,2500,90,50760,70,51120,500
594.0,0,0,22000,0.82,500,2500,90,50690,70,51120,500
679.0,0,0,25600,0.82,492,2500,90,50620,70,51120,500
764.0,0,0,29100,0.82,485,2453,90,50540,70,51120,500
849.0,0,0,32600,0.8181,477,1953,90,50470,70,51120,500
934.0,0,0,35300,0.8163,470,1453,90,50410,60,51120,500
1019.0,0,0,37400,0.8187,470,953,90,50350,50,51120,500
1104.0,0,0,38700,0.82,470,661,90,50300,50,51120,500
1189.0,0,0,39700,0.82,470,482,90,50240,50,51120,500
1273.0,0,0,40300,0.82,470,174,90,50200,50,51120,500
1358.0,0,0,40600,0.82,470,-326,90,50150,40,51120,500
1443.0,0,0,40100,0.82,470,-826,90,50110,40,51120,500
1528.0,0,0,39000,0.82,470,-1326,90,50070,30,51120,500
1613.0,0,0,37100,0.7946,456,-1826,90,50040,30,51120,500
1698.0,0,0,34500,0.66,381,-2326,90,50010,20,51120,500
1783.0,0,0,31200,0.557,327,-2500,90,50000,10,51120,500
1868.0,0,0,27700,0.4898,292,-2500,90,49990,10,51120,500
1953.0,0,0,24100,0.4336,262,-2500,90,49980,0,51120,500
2037.0,0,0,20600,0.3892,239,-2500,90,49980,0,51120,500
2122.0,0,0,17100,0.3591,223,-2500,90,49970,0,51120,500
2207.0,0,0,13500,0.3482,219,-2500,90,49970,0,51120,500
2292.0,0,0,10000,0.358,229,-2500,90,49960,10,51120,500
2377.0,0,0,6500,0.401,259,-2000,90,49960,10,51120,500
2462.0,0,0,3600,0.3,196,-1500,90,49940,10,51120,500
2547.0,0,0,1500,0.199,131,-1000,90,49930,20,51120,500
0.0,0,0,1500,0.3,197,1000,90,51120,50,51120,600
99.0,0,0,3200,0.5,327,1500,90,51070,60,51120,600
198.0,0,0,5600,0.5944,386,2000,90,51010,70,51120,600
297.0,0,0,8900,0.6488,416,2500,90,50940,80,51120,600
396.0,0,0,13100,0.6976,440,2500,90,50860,80,51120,600
495.0,0,0,17200,0.7532,468,2500,90,50780,80,51120,600
594.0,0,0,21300,0.8168,499,2500,90,50700,90,51120,600
693.0,0,0,25400,0.82,493,2500,90,50610,90,51120,600
792.0,0,0,29600,0.82,484,2248,90,50530,80,51120,600
891.0,0,0,33300,0.82,476,1748,90,50450,70,51120,600
990.0,0,0,36200,0.8165,468,1248,90,50380,70,51120,600
1089.0,0,0,38200,0.82,470,756,90,50310,60,51120,600
1189.0,0,0,39500,0.82,470,521,90,50250,60,51120,600
1288.0,0,0,40300,0.82,470,350,90,50190,60,51120,600
1387.0,0,0,40900,0.82,470,64,90,50130,50,51120,600
1486.0,0,0,41000,0.82,470,0,90,50080,50,51120,600
1585.0,0,0,41000,0.82,470,0,90,50030,50,51120,600
1684.0,0,0,41000,0.82,470,-87,90,49980,50,51120,600
1783.0,0,0,40900,0.82,470,-587,90,49930,40,51120,600
1882.0,0,0,39900,0.82,470,-1087,90,49880,40,51120,600
1981.0,0,0,38100,0.82,470,-1587,90,49850,30,51120,600
2080.0,0,0,35500,0.711,409,-2087,90,49810,20,51120,600
2179.0,0,0,32000,0.5653,330,-2500,90,49790,10,51120,600
2278.0,0,0,27900,0.486,289,-2500,90,49780,10,51120,600
2377.0,0,0,23800,0.4218,255,-2500,90,49770,0,51120,600
2476.0,0,0,19700,0.374,230,-2500,90,49760,0,51120,600
2575.0,0,0,15500,0.3478,217,-2500,90,49760,0,51120,600
2674.0,0,0,11400,0.3503,222,-2500,90,49750,10,51120,600
2773.0,0,0,7300,0.3995,258,-2000,90,49750,20,51120,600
2872.0,0,0,4000,0.3,196,-1500,90,49730,20,51120,600
2971.0,0,0,1500,0.2005,132,-1000,90,49720,20,51120,600
0.0,0,0,1500,0.3,197,1000,90,51120,60,51120,700
113.0,0,0,3400,0.5,327,1500,90,51060,70,51120,700
226.0,0,0,6200,0.6038,391,2000,90,51000,80,51120,700
339.0,0,0,10000,0.6654,425,2500,90,50920,90,51120,700
452.0,0,0,14700,0.7241,454,2500,90,50830,100,51120,700
565.0,0,0,19400,0.7924,488,2500,90,50730,100,51120,700
678.0,0,0,24100,0.82,495,2500,90,50640,100,51120,700
791.0,0,0,28800,0.82,486,2213,90,50540,90,51120,700
903.0,0,0,33000,0.82,477,1713,90,50450,80,51120,700
1016.0,0,0,36200,0.8175,469,1213,90,50360,80,51120,700
1129.0,0,0,38500,0.82,470,713,90,50290,70,51120,700
1242.0,0,0,39800,0.82,470,456,90,50220,60,51120,700
