,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude
0,ac2-250,36945.280252542965,1816.0696865370955,67004.66588745118,60454.79196777343,442.87295061703566,0.7359999999999999,36962.0
1,ac1-436,38001.4055666004,1802.0592337580724,67204.24653320313,60763.23478393555,447.45574133005806,0.7759946984758116,38016.0
2,ac1-292,37998.76421404682,988.0111444527996,62559.46059570313,58749.284631347655,437.52647932913175,0.6959999999999998,38012.0
3,ac2-318,37000.632071937056,2963.7444952504798,69581.0705871582,59475.03243408203,444.7216390687946,0.7504008992131883,37014.0
4,ac1-224,38997.97920277296,1279.4996273317408,57007.489904785165,52634.85939331055,440.457870248567,0.6908284228769497,39014.0
5,ac2-267,36944.39473684211,1104.9010084377192,64391.97379760743,60200.78023681641,446.1120670280915,0.7759999999999999,36958.0
6,ac1-578,38000.080544526376,1179.523940603794,55428.98843383789,51491.80660400391,437.0529674213339,0.744,38014.0
7,ac1-481,36999.1852335838,1947.568487799264,70959.99141235353,63756.94447021485,445.2164009783786,0.7599999999999999,37014.0
8,ac1-466,37844.75848032565,1150.642487345374,56644.61600341797,52671.146783447264,435.0597763287434,0.0,38010.0
10,ac1-514,33053.10408635312,962.0401360283254,59946.76850585938,56281.74210205078,418.8092353649322,0.6799999999999998,34004.0
11,ac1-147,37000.09344385833,1151.1337802674373,63049.34036254883,58821.8594116211,442.64012030699485,0.7379653353428784,37010.0
13,ac1-344,37000.800819252436,1319.6782381617736,55193.12039794923,50929.35205688476,441.64566715577354,0.7678402457757297,37018.0
14,ac2-163,32949.165017807674,3069.896634023583,72302.62484741211,61126.10868530274,441.305136112065,0.7679999999999999,32966.0
15,ac2-310,37917.39953407105,1767.7831255345866,63031.19666748047,56989.3462097168,439.13636271925657,0.7439999999999999,37970.0
16,ac1-122,37919.563428571426,960.4465511467628,54721.38432617187,51292.22595825196,430.7269253602889,0.7599999999999999,38010.0
17,ac1-150,34998.47241136417,2562.34591549795,66932.09110717774,58132.39899902343,445.19439513416415,0.45112561634186427,35014.0
18,ac1-398,36003.219851980844,1695.6216848636134,68075.14389648438,61833.71279296876,441.3126763659574,0.7641097083151936,36020.0
19,ac2-280,35946.37398373984,1021.3223670074764,58458.98551025391,54558.09107055664,438.35569115398675,0.6479999999999999,35958.0
21,ac2-205,37937.95302619693,987.6554173937278,62632.03537597656,58912.57788696289,442.5015566209455,0.7359999999999999,37958.0
22,ac2-260,34000.6009913259,1280.145518050475,68274.72454223633,63121.91514282227,451.9852912907145,0.7736555142503097,34012.0
23,ac1-526,37994.34004884005,1814.785692650987,62994.90927734375,56807.9092590332,441.667572937771,0.0,38010.0
25,ac1-410,34005.1185361973,980.1150722937268,58731.1409362793,55138.68931274414,423.3463930381349,0.7482641209228319,34022.0
26,ac2-324,36946.83111111111,2816.3966430479963,65916.04418334962,56572.04122314454,442.526012294611,0.7653252525252524,36966.0
27,ac1-107,36997.114125350796,1399.7834376192875,67929.9943359375,62704.61015625,446.76010365133436,0.6799999999999999,37014.0
29,ac2-153,37939.97442727757,1308.5979546327833,57497.36967163086,52979.58959960938,437.0590078982012,0.7382759722962174,37956.0
