,ts,altitude,mach,tas,vertical_rate,heading,mass,fuel,distance
0,0.0,1500.0,0.1027,67.59,2500.0,90.0,67639.0,176.69280868561003,0
1,131.0,6971.0,0.3027,195.38,2000.0,90.0,67639.0,242.09774184928543,4
2,263.0,11347.0,0.5027,319.3,2500.0,90.0,67392.0,213.4055468046213,17
3,394.0,16817.0,0.7027,437.13,2485.0,90.0,67180.0,207.04028107297904,38
4,525.0,22255.0,0.7673,467.12,1985.0,90.0,66981.0,185.4438972364256,67
5,656.0,26599.0,0.7851,469.42,1485.0,90.0,66803.0,162.41074157694771,98
6,788.0,29849.0,0.7822,461.25,985.0,90.0,66646.0,140.71398534537744,129
7,919.0,32004.0,0.8028,468.98,485.0,90.0,66508.0,123.17406825621848,160
8,1050.0,33065.0,0.7806,453.88,0.0,90.0,66385.0,105.3646909925464,192
9,1182.0,33065.0,0.7833,455.45,0.0,90.0,66280.0,105.47382264439699,223
10,1313.0,33065.0,0.7859,456.95,0.0,90.0,66175.0,105.57891530073188,255
11,1444.0,33065.0,0.7884,458.39,10.0,90.0,66069.0,105.98306881318442,286
12,1576.0,33088.0,0.79,459.3,29.0,90.0,65963.0,106.55362412997162,317
13,1707.0,33152.0,0.7903,459.33,30.0,90.0,65856.0,106.43279145105066,349
14,1838.0,33219.0,0.7905,459.31,30.0,90.0,65750.0,106.27787899669346,380
15,1969.0,33285.0,0.7907,459.29,30.0,90.0,65643.0,106.1216160320378,411
16,2101.0,33351.0,0.7909,459.27,30.0,90.0,65537.0,105.96557398670683,443
17,2232.0,33417.0,0.7911,459.24,30.0,90.0,65431.0,105.80984238708069,474
18,2363.0,33483.0,0.7913,459.22,30.0,90.0,65325.0,105.65442257709103,506
19,2495.0,33550.0,0.7915,459.19,30.0,90.0,65219.0,105.49932071387566,537
20,2626.0,33616.0,0.7916,459.17,30.0,90.0,65114.0,105.34454115636672,569
21,2757.0,33682.0,0.7918,459.14,30.0,90.0,65008.0,105.19008807677052,600
22,2888.0,33748.0,0.792,459.11,30.0,90.0,64902.0,105.03596553677741,632
23,3020.0,33813.0,0.7922,459.08,30.0,90.0,64797.0,104.88217749107689,663
24,3151.0,33879.0,0.7924,459.05,30.0,90.0,64692.0,104.7287277875407,694
25,3282.0,33945.0,0.7926,459.02,30.0,90.0,64587.0,104.57562016734332,726
26,3414.0,34011.0,0.7927,458.99,30.0,90.0,64482.0,104.42285826518606,757
27,3545.0,34076.0,0.7929,458.96,30.0,90.0,64377.0,104.27044560960654,789
28,3676.0,34142.0,0.7931,458.92,30.0,90.0,64272.0,104.1183856233904,820
29,3807.0,34207.0,0.7933,458.89,30.0,90.0,64168.0,103.96668162406363,852
30,3939.0,34273.0,0.7934,458.85,30.0,90.0,64063.0,103.81533682447278,883
31,4070.0,34338.0,0.7936,458.81,30.0,90.0,63959.0,103.66435433344272,915
32,4201.0,34403.0,0.7938,458.78,30.0,90.0,63855.0,103.513737156512,946
33,4333.0,34468.0,0.7939,458.74,30.0,90.0,63751.0,103.36348819673931,978
34,4464.0,34534.0,0.7941,458.7,30.0,90.0,63647.0,103.2136102555748,1009
35,4595.0,34599.0,0.7943,458.66,30.0,90.0,63543.0,103.06410603379881,1041
36,4727.0,34664.0,0.7944,458.62,30.0,90.0,63440.0,102.91497813251571,1072
37,4858.0,34729.0,0.7946,458.57,30.0,90.0,63336.0,102.76622905420672,1104
38,4989.0,34793.0,0.7947,458.53,30.0,90.0,63233.0,102.61786120383312,1135
39,5120.0,34858.0,0.7949,458.49,30.0,90.0,63130.0,102.46987688998685,1167
40,5252.0,34923.0,0.7951,458.44,30.0,90.0,63026.0,102.32227832608903,1198
41,5383.0,34987.0,0.7952,458.4,29.0,90.0,62923.0,102.17506763162287,1230
42,5514.0,35052.0,0.7954,458.35,29.0,90.0,62821.0,102.02824683341137,1261
43,5646.0,35116.0,0.7955,458.31,29.0,90.0,62718.0,101.88181786692563,1293
44,5777.0,35181.0,0.7957,458.26,29.0,90.0,62615.0,101.73578257762324,1325
45,5908.0,35245.0,0.7958,458.21,29.0,90.0,62513.0,101.59014272232041,1356
46,6039.0,35309.0,0.796,458.16,29.0,90.0,62410.0,101.44489997057984,1388
47,6171.0,35373.0,0.7961,458.11,29.0,90.0,62308.0,101.3000559061283,1419
48,6302.0,35438.0,0.7963,458.06,29.0,90.0,62206.0,101.15561202829242,1451
49,6433.0,35502.0,0.7964,458.01,29.0,90.0,62104.0,101.01156975339481,1482
50,6565.0,35565.0,0.7965,457.96,29.0,90.0,62002.0,100.86793041488542,1514
51,6696.0,35629.0,0.7967,457.91,29.0,90.0,61900.0,100.72469522926731,1545
52,6827.0,35693.0,0.7968,457.86,29.0,90.0,61799.0,100.58186434284013,1577
53,6958.0,35757.0,0.797,457.81,29.0,90.0,61697.0,100.43941093135221,1608
54,7090.0,35820.0,0.7971,457.75,29.0,90.0,61596.0,100.29657131232297,1640
55,7221.0,35884.0,0.7972,457.7,28.0,90.0,61494.0,100.13224446573547,1672
56,7352.0,35945.0,0.7975,457.7,5.0,90.0,61393.0,99.39867501531306,1703
57,7484.0,35957.0,0.8,459.11,-296.0,90.0,61293.0,91.71374735113886,1735
58,7615.0,35311.0,0.799,459.94,-607.0,90.0,61200.0,84.81602783240653,1766
59,7746.0,33982.0,0.797,461.51,-932.0,90.0,61113.0,78.98617575304131,1798
60,7878.0,31941.0,0.7935,463.65,-1312.0,90.0,61032.0,73.64747956011647,1830
61,8009.0,29070.0,0.7863,465.24,-1800.0,90.0,60957.0,68.27216329737736,1861
62,8140.0,25132.0,0.7602,457.37,-2300.0,90.0,60887.0,63.32327230564374,1893
63,8271.0,20100.0,0.6962,427.54,-2500.0,90.0,60822.0,59.728635808815554,1924
64,8403.0,14629.0,0.6233,391.02,-2500.0,90.0,60760.0,57.25939865849127,1953
65,8534.0,9159.0,0.5,320.16,-2000.0,90.0,60701.0,54.43146043421869,1979
66,8665.0,4782.0,0.3,195.15,-1500.0,90.0,60646.0,49.845183575069036,2001
67,8797.0,1500.0,0.1,65.81,-1000.0,90.0,60596.0,186.9565870215333,2014
