,ts,altitude,mach,tas,vertical_rate,heading,mass,fuel,distance
0,0.0,1500.0,0.3,197.42,2000.0,90.0,61248.0,232.22967423717316,0
1,139.0,6139.0,0.5,323.68,2500.0,90.0,61015.0,218.69966338055363,14
2,278.0,11937.0,0.7,443.63,2500.0,90.0,60800.0,223.94337256957428,36
3,417.0,17735.0,0.7546,467.72,2500.0,90.0,60587.0,213.17556542967466,67
4,557.0,23534.0,0.802,485.67,2188.0,90.0,60386.0,192.99147876020308,100
5,696.0,28608.0,0.8077,478.87,1688.0,90.0,60202.0,165.9746427571608,134
6,835.0,32522.0,0.8054,469.43,1188.0,90.0,60042.0,142.32811619629697,168
7,974.0,35277.0,0.8011,461.19,688.0,90.0,59901.0,121.40307340647574,202
8,1113.0,36873.0,0.7949,455.94,188.0,90.0,59780.0,102.01095705045228,236
9,1252.0,37308.0,0.7786,446.58,0.0,90.0,59677.0,93.92109815920959,269
10,1392.0,37308.0,0.7841,449.71,0.0,90.0,59582.0,94.1445513415803,302
11,1531.0,37308.0,0.7889,452.47,26.0,90.0,59487.0,95.25028671631523,335
12,1670.0,37369.0,0.7888,452.43,25.0,90.0,59391.0,95.03723800372215,368
13,1809.0,37428.0,0.7889,452.48,25.0,90.0,59295.0,94.87364097872161,401
14,1948.0,37487.0,0.7889,452.51,25.0,90.0,59199.0,94.70280709528649,434
15,2087.0,37546.0,0.789,452.55,25.0,90.0,59103.0,94.53359329300619,467
16,2227.0,37605.0,0.7891,452.59,25.0,90.0,59007.0,94.36463766720377,500
17,2366.0,37664.0,0.7891,452.62,25.0,90.0,58912.0,94.19614704174944,533
18,2505.0,37722.0,0.7892,452.66,25.0,90.0,58816.0,94.02808728235713,566
19,2644.0,37781.0,0.7893,452.69,25.0,90.0,58721.0,93.86046254206107,599
20,2783.0,37839.0,0.7893,452.73,25.0,90.0,58626.0,93.69327083365066,632
21,2922.0,37897.0,0.7894,452.76,25.0,90.0,58531.0,93.52651101164105,665
22,3062.0,37955.0,0.7894,452.8,25.0,90.0,58437.0,93.36018178844863,698
23,3201.0,38013.0,0.7895,452.83,25.0,90.0,58342.0,93.19428187161542,731
24,3340.0,38071.0,0.7896,452.86,25.0,90.0,58247.0,93.02880994624364,764
25,3479.0,38129.0,0.7896,452.9,25.0,90.0,58153.0,92.86376467837296,797
26,3618.0,38187.0,0.7897,452.93,25.0,90.0,58059.0,92.69914471554738,830
27,3757.0,38244.0,0.7897,452.96,25.0,90.0,57965.0,92.53494868772196,863
28,3896.0,38302.0,0.7898,452.99,25.0,90.0,57871.0,92.37117520810351,896
29,4036.0,38359.0,0.7898,453.02,25.0,90.0,57777.0,92.20782287397085,929
30,4175.0,38417.0,0.7899,453.05,25.0,90.0,57684.0,92.0448902674775,962
31,4314.0,38474.0,0.7899,453.08,25.0,90.0,57590.0,91.88237595643447,995
32,4453.0,38531.0,0.79,453.11,25.0,90.0,57497.0,91.72027849506266,1028
33,4592.0,38588.0,0.79,453.14,25.0,90.0,57404.0,91.55859642473898,1061
34,4731.0,38645.0,0.7901,453.17,24.0,90.0,57311.0,91.39732827470681,1094
35,4871.0,38701.0,0.7901,453.2,24.0,90.0,57218.0,91.23647256278366,1127
36,5010.0,38758.0,0.7902,453.22,24.0,90.0,57126.0,91.07602779603634,1160
37,5149.0,38815.0,0.7902,453.25,24.0,90.0,57033.0,90.91599247144103,1193
38,5288.0,38871.0,0.7903,453.28,24.0,90.0,56941.0,90.75636507652351,1226
39,5427.0,38927.0,0.7903,453.31,24.0,90.0,56849.0,90.59714409002464,1259
40,5566.0,38984.0,0.7904,453.33,24.0,90.0,56757.0,90.43832798206348,1292
41,5706.0,39040.0,0.7904,453.36,24.0,90.0,56665.0,90.27991521950983,1325
42,5845.0,39096.0,0.7905,453.38,24.0,90.0,56573.0,90.12190421363029,1359
43,5984.0,39152.0,0.7905,453.41,24.0,90.0,56481.0,89.96429391800336,1392
44,6123.0,39207.0,0.7905,453.43,24.0,90.0,56390.0,89.80707695505275,1425
45,6262.0,39263.0,0.7906,453.46,24.0,90.0,56299.0,89.65032025933087,1458
46,6401.0,39319.0,0.7906,453.48,24.0,90.0,56207.0,89.4932005544819,1491
47,6541.0,39374.0,0.7907,453.51,24.0,90.0,56116.0,89.34576531696433,1524
48,6680.0,39430.0,0.7907,453.5,21.0,90.0,56025.0,89.08264645508636,1557
49,6819.0,39479.0,0.7915,453.99,61.0,90.0,55935.0,90.28634730568791,1590
50,6958.0,39620.0,0.7781,446.31,-87.0,90.0,55843.0,84.50096636318,1623
51,7097.0,39418.0,0.7789,446.77,-587.0,90.0,55757.0,67.71377496354265,1655
52,7236.0,38056.0,0.7453,427.46,-1087.0,90.0,55688.0,48.110683055630794,1688
53,7375.0,35535.0,0.6051,347.96,-1587.0,90.0,55637.0,13.753839997409584,1719
54,7515.0,31853.0,0.4489,262.42,-2087.0,90.0,55622.0,-32.58233357465264,1744
55,7654.0,27013.0,0.3637,217.11,-2500.0,90.0,55656.0,-84.52356752134429,1763
56,7793.0,21214.0,0.2869,175.39,-2500.0,90.0,55744.0,-115.75024653221223,1779
57,7932.0,15416.0,0.2262,141.5,-2500.0,90.0,55867.0,-151.81378192620627,1791
58,8071.0,9618.0,0.2001,127.89,-2000.0,90.0,56030.0,-109.60566382349111,1801
59,8210.0,4979.0,0.2149,139.69,-1500.0,90.0,56150.0,-56.68713120415038,1810
60,8350.0,1500.0,0.2297,151.17,-1000.0,90.0,56213.0,-3.722169213737507,1821
