,ts,altitude,mach,tas,vertical_rate,heading,mass,fuel,distance
0,0.0,1500.0,0.3,197.42,2000.0,90.0,72266.0,178.54150595622397,0
1,94.0,4629.0,0.5,325.43,2500.0,90.0,72087.0,163.5878692722966,9
2,188.0,8541.0,0.654,419.72,2500.0,90.0,71925.0,164.11958397047061,24
3,282.0,12453.0,0.6775,428.55,2500.0,90.0,71764.0,158.78877579123983,45
4,376.0,16365.0,0.7054,439.57,2500.0,90.0,71608.0,153.79687656571818,65
5,469.0,20277.0,0.7303,448.13,2154.0,90.0,71458.0,141.52533600053036,86
6,563.0,23648.0,0.7463,451.73,1654.0,90.0,71319.0,126.2160787347242,108
7,657.0,26236.0,0.751,449.75,1154.0,90.0,71194.0,111.31531173553084,129
8,751.0,28043.0,0.746,443.35,654.0,90.0,71084.0,96.82933876395036,151
9,845.0,29067.0,0.7368,435.96,154.0,90.0,70988.0,82.99286762703208,172
10,939.0,29308.0,0.7344,434.09,0.0,90.0,70905.0,78.8354933244353,193
11,1033.0,29308.0,0.7358,434.94,0.0,90.0,70826.0,78.8707856833718,214
12,1127.0,29308.0,0.7372,435.77,0.0,90.0,70747.0,78.9054311514093,235
13,1220.0,29308.0,0.7386,436.58,0.0,90.0,70668.0,78.9394660645457,256
14,1314.0,29308.0,0.74,437.38,0.0,90.0,70589.0,78.97292592751637,277
15,1408.0,29308.0,0.7413,438.16,2.0,90.0,70510.0,79.0476454491519,299
16,1502.0,29311.0,0.7425,438.9,23.0,90.0,70431.0,79.58131387355328,320
17,1596.0,29347.0,0.7433,439.3,30.0,90.0,70352.0,79.71594035464881,341
18,1690.0,29394.0,0.744,439.6,32.0,90.0,70272.0,79.71716898906463,362
19,1784.0,29445.0,0.7446,439.86,33.0,90.0,70193.0,79.67555457729877,383
20,1878.0,29496.0,0.7452,440.11,33.0,90.0,70113.0,79.6207767351457,405
21,1972.0,29549.0,0.7458,440.36,34.0,90.0,70033.0,79.56334108741163,426
22,2065.0,29601.0,0.7464,440.6,34.0,90.0,69954.0,79.50979562729691,447
23,2159.0,29654.0,0.7469,440.84,35.0,90.0,69874.0,79.47222862846245,468
24,2253.0,29709.0,0.7475,441.06,39.0,90.0,69795.0,79.48623819472199,490
25,2347.0,29769.0,0.7479,441.22,50.0,90.0,69715.0,79.66821557311384,511
26,2441.0,29847.0,0.7482,441.21,88.0,90.0,69636.0,80.46197427083561,532
27,2535.0,29985.0,0.7475,440.56,425.0,90.0,69555.0,88.26220220480536,554
28,2629.0,30650.0,0.8016,471.05,500.0,90.0,69468.0,91.95517491023716,575
29,2723.0,31433.0,0.7898,462.55,122.0,90.0,69375.0,81.78928019496246,598
30,2817.0,31623.0,0.7862,460.04,37.0,90.0,69293.0,79.43968321878813,620
31,2910.0,31681.0,0.7859,459.79,29.0,90.0,69213.0,79.13775776405679,642
32,3004.0,31726.0,0.7861,459.78,28.0,90.0,69134.0,79.03227690581195,664
